county,precinct,office,district,candidate,party,election_day,absentee,mail,votes
Wayne,Bicknell,Governor,,Ken Larsen,LIB,0,0,0,0
Wayne,Bicknell,Governor,,Kirk D Pearson,CON,0,0,0,0
Wayne,Bicknell,Governor,,Gary R. Herbert,REP,142,26,35,203
Wayne,Bicknell,Governor,,Write-in 50,,0,0,0,0
Wayne,Bicknell,Attorney General,,Dee W. Smith,DEM,18,3,4,25
Wayne,Bicknell,Attorney General,,John Swallow,REP,136,24,35,195
Wayne,Bicknell,Attorney General,,W. Andrew McCullough,LIB,1,0,0,1
Wayne,Bicknell,Attorney General,,Write-in 40,,0,0,0,0
Wayne,Bicknell,State Auditor,,Mark Sage,DEM,20,5,4,29
Wayne,Bicknell,State Auditor,,John Dougall,REP,129,23,30,182
Wayne,Bicknell,State Auditor,,Richard Proctor,CON,4,0,4,8
Wayne,Bicknell,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Bicknell,State Treasurer,,Christopher Stout,DEM,19,3,4,26
Wayne,Bicknell,State Treasurer,,Vincent C. Marcus,LIB,2,0,0,2
Wayne,Bicknell,State Treasurer,,Richard K. Ellis,REP,130,24,34,188
Wayne,Bicknell,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Bicknell,State Senate,24,Ralph Okerlund,REP,145,26,36,207
Wayne,Bicknell,State Senate,24,Trestin Meacham,CON,14,1,1,16
Wayne,Bicknell,State Senate,24,Write-in 30,,0,0,0,0
Wayne,Bicknell,State House,73,Michael Noel,REP,129,23,29,181
Wayne,Bicknell,State House,73,Ty Markham,JUS,33,5,8,46
Wayne,Bicknell,State House,73,Write-in 30,,0,0,0,0
Wayne,Bicknell,COUNTY COMMISSION,,Newell E. Harward,REP,81,19,27,127
Wayne,Bicknell,COUNTY COMMISSION,,Joe Brown,DEM,83,9,11,103
Wayne,Bicknell,COUNTY COMMISSION,,Write-in 30,,0,0,0,0
Wayne,Bicknell,SCHOOL BOARD D3,,Joni D. Taylor,,144,23,30,197
Wayne,Bicknell,SCHOOL BOARD D3,,Write-in 20,,8,0,2,10
Wayne,Bicknell,DISTRICT COURT -Bagley,,YES,,128,21,18,167
Wayne,Bicknell,DISTRICT COURT -Bagley,,NO,,23,5,10,38
Wayne,Bicknell,CONST AMEND A,,For,,60,14,10,84
Wayne,Bicknell,CONST AMEND A,,Against,,86,11,16,113
Wayne,Bicknell,CONST AMEND B,,For,,96,15,19,130
Wayne,Bicknell,CONST AMEND B,,Against,,55,10,15,80
Wayne,Teasdale,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Teasdale,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0
Wayne,Teasdale,STRAIGHT PARTY,,DEMOCRATIC,DEM,11,3,0,14
Wayne,Teasdale,STRAIGHT PARTY,,REPUBLICAN,REP,19,6,3,28
Wayne,Teasdale,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Teasdale,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Teasdale,President,,Registered Voters,,0
Wayne,Teasdale,President,,Registered Voters,,0
Wayne,Teasdale,President,,Registered Voters,,0
Wayne,Teasdale,President,,Registered Voters,,226
Wayne,Teasdale,President,,Jill Stein,GRN,1,0,1,2
Wayne,Teasdale,President,,Gloria La Riva,,0,0,0,0
Wayne,Teasdale,President,,Mitt Romney,REP,66,21,15,102
Wayne,Teasdale,President,,Barack Obama,DEM,34,13,10,57
Wayne,Teasdale,President,,Gary Johnson,LIB,2,0,0,2
Wayne,Teasdale,President,,Virgil Goode,CON,1,0,0,1
Wayne,Teasdale,President,,Ross C. Anderson,JUS,3,0,0,3
Wayne,Teasdale,President,,Write-in 90,,0,0,0,0
Wayne,Teasdale,U.S. Senate,,Shaun McCausland,CON,2,0,0,2
Wayne,Teasdale,U.S. Senate,,Scott Howell,DEM,42,12,6,60
Wayne,Teasdale,U.S. Senate,,Orrin G. Hatch,REP,59,21,15,95
Wayne,Teasdale,U.S. Senate,,Daniel Geery,JUS,2,1,0,3
Wayne,Teasdale,U.S. Senate,,Bill Barron,,1,0,3,4
Wayne,Teasdale,U.S. Senate,,Write-in 60,,0,0,0,0
Wayne,Teasdale,U.S. House,2,Chris Stewart,REP,64,20,15,99
Wayne,Teasdale,U.S. House,2,Jay Seegmiller,DEM,37,13,9,59
Wayne,Teasdale,U.S. House,2,Charles E Kimball,,2,0,0,2
Wayne,Teasdale,U.S. House,2,Jonathan D. Garrard,CON,3,0,0,3
Wayne,Teasdale,U.S. House,2,Joseph Andrade,,0,1,2,3
Wayne,Teasdale,U.S. House,2,Write-in 60,,0,0,0,0
Wayne,Teasdale,Governor,,Peter S Cooke,DEM,35,11,11,57
Wayne,Teasdale,Governor,,Ken Larsen,LIB,4,1,0,5
Wayne,Teasdale,Governor,,Kirk D Pearson,CON,0,0,0,0
Wayne,Teasdale,Governor,,Gary R. Herbert,REP,70,22,15,107
Wayne,Teasdale,Governor,,Write-in 50,,0,0,0,0
Wayne,Teasdale,Attorney General,,Dee W. Smith,DEM,31,11,9,51
Wayne,Teasdale,Attorney General,,John Swallow,REP,65,20,13,98
Wayne,Teasdale,Attorney General,,W. Andrew McCullough,LIB,8,2,1,11
Wayne,Teasdale,Attorney General,,Write-in 40,,0,0,0,0
Wayne,Teasdale,State Auditor,,Mark Sage,DEM,38,13,9,60
Wayne,Teasdale,State Auditor,,John Dougall,REP,57,19,13,89
Wayne,Teasdale,State Auditor,,Richard Proctor,CON,9,1,0,10
Wayne,Teasdale,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Teasdale,State Treasurer,,Christopher Stout,DEM,36,11,9,56
Wayne,Teasdale,State Treasurer,,Vincent C. Marcus,LIB,6,1,0,7
Wayne,Teasdale,State Treasurer,,Richard K. Ellis,REP,63,20,13,96
Wayne,Teasdale,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Teasdale,State Senate,24,Ralph Okerlund,REP,75,21,17,113
Wayne,Teasdale,State Senate,24,Trestin Meacham,CON,23,9,2,34
Wayne,Teasdale,State Senate,24,Write-in 30,,1,0,1,2
Wayne,Teasdale,State House,73,Michael Noel,REP,60,15,12,87
Wayne,Teasdale,State House,73,Ty Markham,JUS,48,19,14,81
Wayne,Teasdale,State House,73,Write-in 30,,0,0,0,0
Wayne,Teasdale,COUNTY COMMISSION,,Newell E. Harward,REP,57,16,14,87
Wayne,Teasdale,COUNTY COMMISSION,,Joe Brown,DEM,51,18,12,81
Wayne,Teasdale,COUNTY COMMISSION,,Write-in 30,,0,0,0,0
Wayne,Teasdale,SCHOOL BOARD D2,,April Torgerson,,79,28,20,127
Wayne,Teasdale,SCHOOL BOARD D2,,Write-in 20,,16,0,0,16
Wayne,Teasdale,DISTRICT COURT -Bagley,,YES,,81,24,19,124
Wayne,Teasdale,DISTRICT COURT -Bagley,,NO,,18,7,6,31
Wayne,Teasdale,CONST AMEND A,,For,,42,19,13,74
Wayne,Teasdale,CONST AMEND A,,Against,,57,14,8,79
Wayne,Teasdale,CONST AMEND B,,For,,55,22,14,91
Wayne,Teasdale,CONST AMEND B,,Against,,51,11,9,71
Wayne,Torrey,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Torrey,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,1,0,1
Wayne,Torrey,STRAIGHT PARTY,,DEMOCRATIC,DEM,16,6,4,26
Wayne,Torrey,STRAIGHT PARTY,,REPUBLICAN,REP,24,11,1,36
Wayne,Torrey,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Torrey,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Torrey,President,,Registered Voters,,0
Wayne,Torrey,President,,Registered Voters,,0
Wayne,Torrey,President,,Registered Voters,,0
Wayne,Torrey,President,,Registered Voters,,329
Wayne,Torrey,President,,Jill Stein,GRN,1,0,1,2
Wayne,Torrey,President,,Gloria La Riva,,0,0,0,0
Wayne,Torrey,President,,Mitt Romney,REP,67,33,19,119
Wayne,Torrey,President,,Barack Obama,DEM,51,26,19,96
Wayne,Torrey,President,,Gary Johnson,LIB,0,1,0,1
Wayne,Torrey,President,,Virgil Goode,CON,0,0,0,0
Wayne,Torrey,President,,Ross C. Anderson,JUS,1,1,4,6
Wayne,Torrey,President,,Write-in 90,,0,0,0,0
Wayne,Torrey,U.S. Senate,,Shaun McCausland,CON,3,2,0,5
Wayne,Torrey,U.S. Senate,,Scott Howell,DEM,51,29,22,102
Wayne,Torrey,U.S. Senate,,Orrin G. Hatch,REP,60,29,15,104
Wayne,Torrey,U.S. Senate,,Daniel Geery,JUS,0,1,0,1
Wayne,Torrey,U.S. Senate,,Bill Barron,,3,1,5,9
Wayne,Torrey,U.S. Senate,,Write-in 60,,0,0,0,0
Wayne,Torrey,U.S. House,2,Chris Stewart,REP,62,26,16,104
Wayne,Torrey,U.S. House,2,Jay Seegmiller,DEM,49,30,20,99
Wayne,Torrey,U.S. House,2,Charles E Kimball,,5,0,0,5
Wayne,Torrey,U.S. House,2,Jonathan D. Garrard,CON,0,0,0,0
Wayne,Torrey,U.S. House,2,Joseph Andrade,,1,1,5,7
Wayne,Torrey,U.S. House,2,Write-in 60,,0,0,0,0
Wayne,Torrey,Governor,,Peter S Cooke,DEM,51,27,25,103
Wayne,Torrey,Governor,,Ken Larsen,LIB,1,0,1,2
Wayne,Torrey,Governor,,Kirk D Pearson,CON,0,0,0,0
Wayne,Torrey,Governor,,Gary R. Herbert,REP,66,33,15,114
Wayne,Torrey,Governor,,Write-in 50,,0,0,0,0
Wayne,Torrey,Attorney General,,Dee W. Smith,DEM,47,28,23,98
Wayne,Torrey,Attorney General,,John Swallow,REP,61,31,16,108
Wayne,Torrey,Attorney General,,W. Andrew McCullough,LIB,9,0,3,12
Wayne,Torrey,Attorney General,,Write-in 40,,0,0,0,0
Wayne,Torrey,State Auditor,,Mark Sage,DEM,48,29,21,98
Wayne,Torrey,State Auditor,,John Dougall,REP,62,27,18,107
Wayne,Torrey,State Auditor,,Richard Proctor,CON,6,0,2,8
Wayne,Torrey,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Torrey,State Treasurer,,Christopher Stout,DEM,49,27,22,98
Wayne,Torrey,State Treasurer,,Vincent C. Marcus,LIB,4,1,2,7
Wayne,Torrey,State Treasurer,,Richard K. Ellis,REP,61,28,17,106
Wayne,Torrey,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Torrey,State Senate,24,Ralph Okerlund,REP,81,35,22,138
Wayne,Torrey,State Senate,24,Trestin Meacham,CON,24,12,6,42
Wayne,Torrey,State Senate,24,Write-in 30,,0,0,0,0
Wayne,Torrey,State House,73,Michael Noel,REP,57,25,15,97
Wayne,Torrey,State House,73,Ty Markham,JUS,57,36,25,118
Wayne,Torrey,State House,73,Write-in 30,,0,0,0,0
Wayne,Torrey,COUNTY COMMISSION,,Newell E. Harward,REP,54,18,13,85
Wayne,Torrey,COUNTY COMMISSION,,Joe Brown,DEM,63,45,30,138
Wayne,Torrey,COUNTY COMMISSION,,Write-in 30,,1,0,0,1
Wayne,Torrey,SCHOOL BOARD D2,,April Torgerson,,85,48,29,162
Wayne,Torrey,SCHOOL BOARD D2,,Write-in 20,,7,3,2,12
Wayne,Torrey,DISTRICT COURT -Bagley,,YES,,79,34,23,136
Wayne,Torrey,DISTRICT COURT -Bagley,,NO,,27,20,11,58
Wayne,Torrey,CONST AMEND A,,For,,52,21,16,89
Wayne,Torrey,CONST AMEND A,,Against,,54,31,16,101
Wayne,Torrey,CONST AMEND B,,For,,76,33,18,127
Wayne,Torrey,CONST AMEND B,,Against,,33,24,22,79
Wayne,Hanksville,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Hanksville,STRAIGHT PARTY,,LIBERTARIAN,LIB,1,0,0,1
Wayne,Hanksville,STRAIGHT PARTY,,DEMOCRATIC,DEM,6,0,0,6
Wayne,Hanksville,STRAIGHT PARTY,,REPUBLICAN,REP,44,0,2,46
Wayne,Hanksville,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Hanksville,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
