county,precinct,office,district,candidate,party,election_day,absentee,mail,provisional,votes
Emery,1,COURTAPPEALS-VOROS ,,NO ,,20,0,3,0,23
Emery,1,JUVENILECOURT-MANLEY ,,YES ,,58,0,1,0,59
Emery,1,JUVENILECOURT-MANLEY ,,NO ,,23,0,3,0,26
Emery,1,JUVENILECOURT-JOHANSEN ,,YES ,,67,0,2,0,69
Emery,1,JUVENILECOURT-JOHANSEN ,,NO ,,16,0,2,0,18
Emery,1,JUVENILECOURT-ANDERSON ,,YES ,,63,0,1,0,64
Emery,1,JUVENILECOURT-ANDERSON ,,NO ,,16,0,3,0,19
Emery,1,STATE SCHOOL BOARD,14, MIKE MILES ,,27,0,2,0,29
Emery,1,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,52,0,2,0,54
Emery,1,SCHOOL BOARD,5,ROYD F. HATT ,,79,0,3,0,82
Emery,1,CONST AMENDMENT A ,,FOR ,,37,0,1,0,38
Emery,1,CONST AMENDMENT A ,,AGAINST ,,46,0,3,0,49
Emery,1,CONST AMENDMENT B ,,FOR ,,50,0,2,0,52
Emery,1,CONST AMENDMENT B ,,AGAINST ,,36,0,2,0,38
Emery,1,CONST AMENDMENT C ,,FOR ,,29,0,1,0,30
Emery,1,CONST AMENDMENT C ,,AGAINST ,,58,0,3,0,61
Emery,2,Registered Voters ,,Registered Voters ,,0,0,0,0,583
Emery,2,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,1,0,0,0,1
Emery,2,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,5,0,0,0,5
Emery,2,STRAIGHT PARTY ,,REPUBLICAN ,REP ,45,0,0,0,45
Emery,2,STRAIGHT PARTY ,,CONSTITUTION ,CON ,0,0,0,0,0
Emery,2,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,8,0,2,0,10
Emery,2,U.S. House,3,BEN J. MATES ,,3,0,0,0,3
Emery,2,U.S. House,3,BRIAN WONNACOTT ,DEM ,27,0,2,0,29
Emery,2,U.S. House,3,ZACK STRONG ,IAP ,11,0,0,0,11
Emery,2,U.S. House,3,JASON CHAFFETZ ,REP ,205,2,14,1,222
Emery,2,U.S. House,3,STEPHEN P. TRYON ,,5,0,0,0,5
Emery,2,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,2,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,7,0,1,0,8
Emery,2,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,5,0,0,1,6
Emery,2,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,29,0,3,0,32
Emery,2,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,196,2,12,0,210
Emery,2,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,15,0,0,0,15
Emery,2,State Representative,70,KAY L. MCIFF ,REP ,192,2,12,0,206
Emery,2,State Representative,70,KALEN JONES ,DEM ,38,0,3,0,41
Emery,2,State Representative,70,R. GLENN STONEMAN ,CON ,16,0,1,1,18
Emery,2,COUNTY COMM A ,,KEITH BRADY ,REP ,124,0,4,0,128
Emery,2,COUNTY COMM A ,,Write-ins,,119,1,12,1,133
Emery,2,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,221,1,14,1,237
Emery,2,COUNTY ASSESSOR ,,KRIS BELL ,REP ,228,1,14,1,244
Emery,2,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,221,1,9,1,232
Emery,2,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,218,1,14,1,234
Emery,2,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,235,1,14,1,251
Emery,2,COUNTY SHERIFF ,,GREG FUNK ,REP ,236,1,13,1,251
Emery,2,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,231,1,14,1,247
Emery,2,UTAHSUPREMECRT-DURHAM ,,YES ,,191,1,13,0,205
Emery,2,UTAHSUPREMECRT-DURHAM ,,NO ,,46,1,2,1,50
Emery,2,UTAHSUPREMECRT-DURRANT ,,YES ,,194,1,14,0,209
Emery,2,UTAHSUPREMECRT-DURRANT ,,NO ,,43,1,1,1,46
Emery,2,UTAHSUPREMECRT-LEE ,,YES ,,196,1,14,0,211
Emery,2,UTAHSUPREMECRT-LEE ,,NO ,,42,1,1,1,45
Emery,2,COURTAPPEALS-ORME ,,YES ,,189,1,14,0,204
Emery,2,COURTAPPEALS-ORME ,,NO ,,47,1,1,1,50
Emery,2,COURTAPPEALS-CHRISTIANSEN ,,YES ,,190,1,13,0,204
Emery,2,COURTAPPEALS-CHRISTIANSEN ,,NO ,,44,1,2,1,48
Emery,2,COURTAPPEALS-ROTH ,,YES ,,192,1,14,0,207
Emery,2,COURTAPPEALS-ROTH ,,NO ,,42,1,1,1,45
Emery,2,COURTAPPEALS-DAVIS ,,YES ,,193,1,14,0,208
Emery,2,COURTAPPEALS-DAVIS ,,NO ,,41,1,1,1,44
Emery,2,COURTAPPEALS-VOROS ,,YES ,,186,1,14,0,201
Emery,2,COURTAPPEALS-VOROS ,,NO ,,53,1,1,1,56
Emery,2,JUVENILECOURT-MANLEY ,,YES ,,201,1,13,0,215
Emery,2,JUVENILECOURT-MANLEY ,,NO ,,41,1,2,1,45
Emery,2,JUVENILECOURT-JOHANSEN ,,YES ,,195,1,9,0,205
Emery,2,JUVENILECOURT-JOHANSEN ,,NO ,,52,1,7,1,61
Emery,2,JUVENILECOURT-ANDERSON ,,YES ,,202,1,13,0,216
Emery,2,JUVENILECOURT-ANDERSON ,,NO ,,41,1,2,1,45
Emery,2,STATE SCHOOL BOARD,14, MIKE MILES ,,55,1,3,0,59
Emery,2,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,172,0,11,1,184
Emery,2,CONST AMENDMENT A ,,FOR ,,114,0,9,0,123
Emery,2,CONST AMENDMENT A ,,AGAINST ,,128,2,6,1,137
Emery,2,CONST AMENDMENT B ,,FOR ,,144,1,9,0,154
Emery,2,CONST AMENDMENT B ,,AGAINST ,,100,1,6,1,108
Emery,2,CONST AMENDMENT C ,,FOR ,,96,0,11,0,107
Emery,2,CONST AMENDMENT C ,,AGAINST ,,151,2,4,1,158
Emery,3,Registered Voters ,,Registered Voters ,,0,0,0,0,573
Emery,3,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,1,0,0,0,1
Emery,3,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,4,0,0,0,4
Emery,3,STRAIGHT PARTY ,,REPUBLICAN ,REP ,29,0,1,0,30
Emery,3,STRAIGHT PARTY ,,CONSTITUTION ,CON ,2,0,0,0,2
Emery,3,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,1,0,1,0,2
Emery,3,U.S. House,3,BEN J. MATES ,,2,0,0,0,2
Emery,3,U.S. House,3,BRIAN WONNACOTT ,DEM ,20,0,2,0,22
Emery,3,U.S. House,3,ZACK STRONG ,IAP ,6,0,1,0,7
Emery,3,U.S. House,3,JASON CHAFFETZ ,REP ,176,3,19,0,198
Emery,3,U.S. House,3,STEPHEN P. TRYON ,,1,0,0,0,1
Emery,3,U.S. House,3,Write-ins,,2,0,1,0,3
Emery,3,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,4,0,0,0,4
Emery,3,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,8,0,0,0,8
Emery,3,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,20,1,4,0,25
Emery,3,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,164,2,20,0,186
Emery,3,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,9,0,0,0,9
Emery,3,State Representative,70,KAY L. MCIFF ,REP ,155,3,17,0,175
Emery,3,State Representative,70,KALEN JONES ,DEM ,31,0,6,0,37
Emery,3,State Representative,70,R. GLENN STONEMAN ,CON ,16,0,1,0,17
Emery,3,COUNTY COMM A ,,KEITH BRADY ,REP ,108,2,6,0,116
Emery,3,COUNTY COMM A ,,Write-ins,,93,1,16,0,110
Emery,3,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,182,3,20,0,205
Emery,3,COUNTY ASSESSOR ,,KRIS BELL ,REP ,184,3,17,0,204
Emery,3,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,180,3,21,0,204
Emery,3,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,190,3,21,0,214
Emery,3,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,194,3,18,0,215
Emery,3,COUNTY SHERIFF ,,GREG FUNK ,REP ,195,3,17,0,215
Emery,3,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,191,3,19,0,213
Emery,3,UTAHSUPREMECRT-DURHAM ,,YES ,,153,3,14,0,170
Emery,3,UTAHSUPREMECRT-DURHAM ,,NO ,,39,0,6,0,45
Emery,3,UTAHSUPREMECRT-DURRANT ,,YES ,,145,3,13,0,161
Emery,3,UTAHSUPREMECRT-DURRANT ,,NO ,,44,0,6,0,50
Emery,3,UTAHSUPREMECRT-LEE ,,YES ,,146,3,13,0,162
Emery,3,UTAHSUPREMECRT-LEE ,,NO ,,45,0,6,0,51
Emery,3,COURTAPPEALS-ORME ,,YES ,,147,3,12,0,162
Emery,3,COURTAPPEALS-ORME ,,NO ,,44,0,7,0,51
Emery,3,COURTAPPEALS-CHRISTIANSEN ,,YES ,,147,3,12,0,162
Emery,3,COURTAPPEALS-CHRISTIANSEN ,,NO ,,45,0,7,0,52
Emery,3,COURTAPPEALS-ROTH ,,YES ,,143,3,12,0,158
Emery,3,COURTAPPEALS-ROTH ,,NO ,,46,0,7,0,53
Emery,3,COURTAPPEALS-DAVIS ,,YES ,,146,3,12,0,161
Emery,3,COURTAPPEALS-DAVIS ,,NO ,,43,0,7,0,50
Emery,3,COURTAPPEALS-VOROS ,,YES ,,146,3,12,0,161
Emery,3,COURTAPPEALS-VOROS ,,NO ,,43,0,7,0,50
Emery,3,JUVENILECOURT-MANLEY ,,YES ,,146,3,17,0,166
Emery,3,JUVENILECOURT-MANLEY ,,NO ,,45,0,3,0,48
Emery,3,JUVENILECOURT-JOHANSEN ,,YES ,,152,2,16,0,170
Emery,3,JUVENILECOURT-JOHANSEN ,,NO ,,49,1,4,0,54
Emery,3,JUVENILECOURT-ANDERSON ,,YES ,,154,3,14,0,171
Emery,3,JUVENILECOURT-ANDERSON ,,NO ,,38,0,6,0,44
Emery,3,STATE SCHOOL BOARD,14, MIKE MILES ,,44,1,4,0,49
Emery,3,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,143,2,15,0,160
Emery,3,CONST AMENDMENT A ,,FOR ,,87,2,13,0,102
Emery,3,CONST AMENDMENT A ,,AGAINST ,,107,1,7,0,115
Emery,3,CONST AMENDMENT B ,,FOR ,,109,3,11,0,123
Emery,3,CONST AMENDMENT B ,,AGAINST ,,90,0,10,0,100
Emery,3,CONST AMENDMENT C ,,FOR ,,83,1,11,0,95
Emery,3,CONST AMENDMENT C ,,AGAINST ,,121,2,10,0,133
Emery,4,Registered Voters ,,Registered Voters ,,0,0,0,0,142
Emery,4,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,0,0,0,0,0
Emery,4,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,0,0,0,0,0
Emery,4,STRAIGHT PARTY ,,REPUBLICAN ,REP ,22,0,0,0,22
Emery,4,STRAIGHT PARTY ,,CONSTITUTION ,CON ,0,0,0,0,0
Emery,4,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,3,2,0,0,5
Emery,4,U.S. House,3,BEN J. MATES ,,0,0,0,0,0
Emery,4,U.S. House,3,BRIAN WONNACOTT ,DEM ,8,0,0,0,8
Emery,4,U.S. House,3,ZACK STRONG ,IAP ,0,0,0,0,0
Emery,4,U.S. House,3,JASON CHAFFETZ ,REP ,58,4,6,0,68
Emery,4,U.S. House,3,STEPHEN P. TRYON ,,0,0,0,0,0
Emery,4,U.S. House,3,Write-ins,,0,0,1,0,1
Emery,4,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,0,0,0,0,0
Emery,4,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,1,0,0,0,1
Emery,4,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,11,0,0,0,11
Emery,4,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,55,4,6,0,65
Emery,4,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,0,0,0,0,0
Emery,4,State Representative,70,KAY L. MCIFF ,REP ,54,1,5,0,60
Emery,4,State Representative,70,KALEN JONES ,DEM ,9,3,0,0,12
Emery,4,State Representative,70,R. GLENN STONEMAN ,CON ,1,0,1,0,2
Emery,4,COUNTY COMM A ,,KEITH BRADY ,REP ,38,2,1,0,41
Emery,4,COUNTY COMM A ,,Write-ins,,25,2,5,0,32
Emery,4,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,60,4,5,0,69
Emery,4,COUNTY ASSESSOR ,,KRIS BELL ,REP ,60,4,5,0,69
Emery,4,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,59,4,6,0,69
Emery,4,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,58,4,5,0,67
Emery,4,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,63,4,5,0,72
Emery,4,COUNTY SHERIFF ,,GREG FUNK ,REP ,62,4,6,0,72
Emery,4,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,61,3,5,0,69
Emery,4,UTAHSUPREMECRT-DURHAM ,,YES ,,48,3,5,0,56
Emery,4,UTAHSUPREMECRT-DURHAM ,,NO ,,11,0,1,0,12
Emery,4,UTAHSUPREMECRT-DURRANT ,,YES ,,46,2,5,0,53
Emery,4,UTAHSUPREMECRT-DURRANT ,,NO ,,13,0,1,0,14
Emery,4,UTAHSUPREMECRT-LEE ,,YES ,,48,2,5,0,55
Emery,4,UTAHSUPREMECRT-LEE ,,NO ,,11,0,1,0,12
Emery,4,COURTAPPEALS-ORME ,,YES ,,45,2,5,0,52
Emery,4,COURTAPPEALS-ORME ,,NO ,,11,0,1,0,12
Emery,4,COURTAPPEALS-CHRISTIANSEN ,,YES ,,47,2,5,0,54
Emery,4,COURTAPPEALS-CHRISTIANSEN ,,NO ,,10,0,1,0,11
Emery,4,COURTAPPEALS-ROTH ,,YES ,,45,2,5,0,52
Emery,4,COURTAPPEALS-ROTH ,,NO ,,12,0,1,0,13
Emery,4,COURTAPPEALS-DAVIS ,,YES ,,47,2,5,0,54
Emery,4,COURTAPPEALS-DAVIS ,,NO ,,11,0,1,0,12
Emery,4,COURTAPPEALS-VOROS ,,YES ,,48,2,5,0,55
Emery,4,COURTAPPEALS-VOROS ,,NO ,,9,0,1,0,10
Emery,4,JUVENILECOURT-MANLEY ,,YES ,,52,4,5,0,61
Emery,4,JUVENILECOURT-MANLEY ,,NO ,,8,0,1,0,9
Emery,4,JUVENILECOURT-JOHANSEN ,,YES ,,49,4,6,0,59
Emery,4,JUVENILECOURT-JOHANSEN ,,NO ,,14,0,0,0,14
Emery,4,JUVENILECOURT-ANDERSON ,,YES ,,52,2,5,0,59
Emery,4,JUVENILECOURT-ANDERSON ,,NO ,,10,2,1,0,13
Emery,4,STATE SCHOOL BOARD,14, MIKE MILES ,,22,0,1,0,23
Emery,4,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,34,2,5,0,41
Emery,4,CONST AMENDMENT A ,,FOR ,,15,0,1,0,16
Emery,4,CONST AMENDMENT A ,,AGAINST ,,41,4,5,0,50
Emery,4,CONST AMENDMENT B ,,FOR ,,29,0,4,0,33
Emery,4,CONST AMENDMENT B ,,AGAINST ,,31,4,2,0,37
Emery,4,CONST AMENDMENT C ,,FOR ,,20,0,2,0,22
Emery,4,CONST AMENDMENT C ,,AGAINST ,,39,4,4,0,47
Emery,5,Registered Voters ,,Registered Voters ,,0,0,0,0,990
Emery,5,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,2,0,0,0,2
Emery,5,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,4,0,0,0,4
Emery,5,STRAIGHT PARTY ,,REPUBLICAN ,REP ,40,0,5,0,45
Emery,5,STRAIGHT PARTY ,,CONSTITUTION ,CON ,1,0,0,0,1
Emery,5,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,10,0,0,0,10
Emery,5,U.S. House,3,BEN J. MATES ,,3,0,0,0,3
Emery,5,U.S. House,3,BRIAN WONNACOTT ,DEM ,48,4,1,0,53
Emery,5,U.S. House,3,ZACK STRONG ,IAP ,11,0,0,0,11
Emery,5,U.S. House,3,JASON CHAFFETZ ,REP ,267,6,37,0,310
Emery,5,U.S. House,3,STEPHEN P. TRYON ,,6,0,1,0,7
Emery,5,U.S. House,3,Write-ins,,1,0,0,0,1
Emery,5,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,13,0,1,0,14
Emery,5,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,9,0,2,0,11
Emery,5,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,57,4,2,0,63
Emery,5,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,242,6,33,0,281
Emery,5,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,15,0,1,0,16
Emery,5,State Representative,70,KAY L. MCIFF ,REP ,257,6,32,0,295
Emery,5,State Representative,70,KALEN JONES ,DEM ,63,4,4,0,71
Emery,5,State Representative,70,R. GLENN STONEMAN ,CON ,12,0,3,0,15
Emery,5,COUNTY COMM A ,,KEITH BRADY ,REP ,163,7,16,0,186
Emery,5,COUNTY COMM A ,,Write-ins,,168,1,23,0,192
Emery,5,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,293,9,38,0,340
Emery,5,COUNTY ASSESSOR ,,KRIS BELL ,REP ,296,9,34,0,339
Emery,5,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,288,9,36,0,333
Emery,5,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,299,9,36,0,344
Emery,5,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,302,9,34,0,345
Emery,5,COUNTY SHERIFF ,,GREG FUNK ,REP ,310,7,33,0,350
Emery,5,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,301,9,33,0,343
Emery,5,UTAHSUPREMECRT-DURHAM ,,YES ,,256,8,34,0,298
Emery,5,UTAHSUPREMECRT-DURHAM ,,NO ,,51,1,5,0,57
Emery,5,UTAHSUPREMECRT-DURRANT ,,YES ,,249,9,33,0,291
Emery,5,UTAHSUPREMECRT-DURRANT ,,NO ,,54,1,6,0,61
Emery,5,UTAHSUPREMECRT-LEE ,,YES ,,255,8,33,0,296
Emery,5,UTAHSUPREMECRT-LEE ,,NO ,,49,2,6,0,57
Emery,5,COURTAPPEALS-ORME ,,YES ,,247,9,33,0,289
Emery,5,COURTAPPEALS-ORME ,,NO ,,53,1,6,0,60
Emery,5,COURTAPPEALS-CHRISTIANSEN ,,YES ,,254,9,34,0,297
Emery,5,COURTAPPEALS-CHRISTIANSEN ,,NO ,,45,1,5,0,51
Emery,5,COURTAPPEALS-ROTH ,,YES ,,250,8,33,0,291
Emery,5,COURTAPPEALS-ROTH ,,NO ,,49,2,6,0,57
Emery,5,COURTAPPEALS-DAVIS ,,YES ,,250,9,32,0,291
Emery,5,COURTAPPEALS-DAVIS ,,NO ,,53,1,7,0,61
Emery,5,COURTAPPEALS-VOROS ,,YES ,,241,9,33,0,283
Emery,5,COURTAPPEALS-VOROS ,,NO ,,57,1,6,0,64
Emery,5,JUVENILECOURT-MANLEY ,,YES ,,250,9,33,0,292
Emery,5,JUVENILECOURT-MANLEY ,,NO ,,54,1,5,0,60
Emery,5,JUVENILECOURT-JOHANSEN ,,YES ,,265,9,35,0,309
Emery,5,JUVENILECOURT-JOHANSEN ,,NO ,,66,1,4,0,71
Emery,5,JUVENILECOURT-ANDERSON ,,YES ,,257,9,31,0,297
Emery,5,JUVENILECOURT-ANDERSON ,,NO ,,49,1,8,0,58
Emery,5,STATE SCHOOL BOARD,14, MIKE MILES ,,77,3,12,0,92
Emery,5,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,218,7,25,0,250
Emery,5,CONST AMENDMENT A ,,FOR ,,142,4,12,0,158
Emery,5,CONST AMENDMENT A ,,AGAINST ,,171,5,25,0,201
Emery,5,CONST AMENDMENT B ,,FOR ,,189,7,20,0,216
Emery,5,CONST AMENDMENT B ,,AGAINST ,,126,3,17,0,146
Emery,5,CONST AMENDMENT C ,,FOR ,,137,2,15,0,154
Emery,5,CONST AMENDMENT C ,,AGAINST ,,181,8,22,0,211
Emery,6,Registered Voters ,,Registered Voters ,,0,0,0,0,555
Emery,6,STRAIGHT PARTY ,,LIBERTARIAN ,LIB ,0,0,0,0,0
Emery,6,STRAIGHT PARTY ,,INDEPENDENT AMERICAN ,IAP ,1,0,0,0,1
Emery,6,STRAIGHT PARTY ,,REPUBLICAN ,REP ,24,0,1,0,25
Emery,6,STRAIGHT PARTY ,,CONSTITUTION ,CON ,1,0,1,0,2
Emery,6,STRAIGHT PARTY ,,DEMOCRATIC ,DEM ,7,2,3,0,12
Emery,6,U.S. House,3,BEN J. MATES ,,1,0,0,0,1
Emery,6,U.S. House,3,BRIAN WONNACOTT ,DEM ,15,2,9,0,26
Emery,6,U.S. House,3,ZACK STRONG ,IAP ,6,0,1,0,7
Emery,6,U.S. House,3,JASON CHAFFETZ ,REP ,127,1,19,0,147
Emery,6,U.S. House,3,STEPHEN P. TRYON ,,1,0,0,0,1
Emery,6,U.S. House,3,Write-ins,,0,0,0,0,0
Emery,6,ATTORNEY GENERAL ,,W. ANDREW McCULLOUGH ,LIB ,5,0,1,0,6
Emery,6,ATTORNEY GENERAL ,,GREGORY G. HANSEN ,CON ,4,1,1,0,6
Emery,6,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,21,2,8,0,31
Emery,6,ATTORNEY GENERAL ,,SEAN D. REYES ,REP ,114,0,18,0,132
Emery,6,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,7,0,0,0,7
Emery,6,State Representative,70,KAY L. MCIFF ,REP ,114,1,20,0,135
Emery,6,State Representative,70,KALEN JONES ,DEM ,27,2,6,0,35
Emery,6,State Representative,70,R. GLENN STONEMAN ,CON ,8,0,2,0,10
Emery,6,COUNTY COMM A ,,KEITH BRADY ,REP ,71,1,11,0,83
Emery,6,COUNTY COMM A ,,Write-ins,,75,0,14,0,89
Emery,6,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,131,1,26,0,158
Emery,6,COUNTY ASSESSOR ,,KRIS BELL ,REP ,135,1,23,0,159
Emery,6,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,137,1,24,0,162
Emery,6,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,130,1,24,0,155
Emery,6,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,142,1,26,0,169
Emery,6,COUNTY SHERIFF ,,GREG FUNK ,REP ,143,1,26,0,170
Emery,6,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,137,1,23,0,161
Emery,6,UTAHSUPREMECRT-DURHAM ,,YES ,,109,3,22,0,134
Emery,6,UTAHSUPREMECRT-DURHAM ,,NO ,,35,0,4,0,39
Emery,6,UTAHSUPREMECRT-DURRANT ,,YES ,,110,3,21,0,134
Emery,6,UTAHSUPREMECRT-DURRANT ,,NO ,,34,0,5,0,39
Emery,6,UTAHSUPREMECRT-LEE ,,YES ,,112,3,21,0,136
Emery,6,UTAHSUPREMECRT-LEE ,,NO ,,31,0,5,0,36
Emery,6,COURTAPPEALS-ORME ,,YES ,,104,3,19,0,126
Emery,6,COURTAPPEALS-ORME ,,NO ,,39,0,7,0,46
Emery,6,COURTAPPEALS-CHRISTIANSEN ,,YES ,,107,3,19,0,129
